대업종,중업종,항목,전체,5인 미만,5~9인,10~29인,30~49인,50~99인,100~299인,300~499인,500~999인,1000인 이상,통계기준년
기타의 사업,주한미군,사업장수 (개소),177,35,18,38,15,32,26,5,2,6,2021
기타의 사업,주한미군,근로자수 (명),21872,107,118,548,560,2241,4661,1940,1229,10468,2021
기타의 사업,주한미군,요양재해자수 (명),35,0,4,2,1,3,10,2,0,13,2021
기타의 사업,주한미군,요양재해율 (%),0.16,0,3.39,0.36,0.18,0.13,0.21,0.1,0,0.12,2021
기타의 사업,기타의 각종사업,사업장수 (개소),187361,152174,22277,10116,1218,839,497,111,71,58,2021
기타의 사업,기타의 각종사업,근로자수 (명),940195,237878,141258,152514,45304,57203,80522,42711,48845,133960,2021
기타의 사업,기타의 각종사업,요양재해자수 (명),1754,848,291,310,98,71,89,14,9,24,2021
기타의 사업,기타의 각종사업,요양재해율 (%),0.19,0.36,0.21,0.2,0.22,0.12,0.11,0.03,0.02,0.02,2021
총계,소계,사업장수 (개소),2976026,2224981,378909,271362,49755,30167,16468,2457,1296,631,2022
총계,소계,근로자수 (명),20173615,3424470,2460763,4315106,1862172,2056397,2649823,922228,874015,1608641,2022
총계,소계,요양재해자수 (명),130348,38432,16179,26506,10005,9958,12878,3988,4150,8252,2022
총계,소계,요양재해율 (%),0.65,1.12,0.66,0.61,0.54,0.48,0.49,0.43,0.47,0.51,2022
광업,소계,사업장수 (개소),1055,623,165,221,33,5,5,1,2,0,2022
광업,소계,근로자수 (명),9850,1155,1096,3680,1253,331,682,323,1330,0,2022
광업,소계,요양재해자수 (명),3873,145,81,332,278,221,715,647,1333,121,2022
광업,소계,요양재해율 (%),39.32,12.55,7.39,9.02,22.19,66.77,104.84,200.31,100.23,-,2022
광업,석탄광업 및 채석업,사업장수 (개소),58,31,13,8,2,0,1,1,2,0,2022
광업,석탄광업 및 채석업,근로자수 (명),2234,44,83,149,69,0,236,323,1330,0,2022
광업,석탄광업 및 채석업,요양재해자수 (명),3425,58,42,156,215,192,663,645,1333,121,2022
광업,석탄광업 및 채석업,요양재해율 (%),153.31,131.82,50.6,104.7,311.59,-,280.93,199.69,100.23,-,2022
광업,석회석·금속·비금속광업 및 기타광업,사업장수 (개소),997,592,152,213,31,5,4,0,0,0,2022
광업,석회석·금속·비금속광업 및 기타광업,근로자수 (명),7616,1111,1013,3531,1184,331,446,0,0,0,2022
광업,석회석·금속·비금속광업 및 기타광업,요양재해자수 (명),448,87,39,176,63,29,52,2,0,0,2022
광업,석회석·금속·비금속광업 및 기타광업,요양재해율 (%),5.88,7.83,3.85,4.98,5.32,8.76,11.66,-,0,0,2022
제조업,소계,사업장수 (개소),410117,273119,62291,53165,10647,6617,3497,441,202,138,2022
제조업,소계,근로자수 (명),3988609,452878,409129,868739,403096,456575,554716,166609,136066,540801,2022
제조업,소계,요양재해자수 (명),31554,6521,4150,7281,2702,2530,2920,774,648,4028,2022
제조업,소계,요양재해율 (%),0.79,1.44,1.01,0.84,0.67,0.55,0.53,0.46,0.48,0.74,2022
제조업,식료품제조업,사업장수 (개소),32060,19788,4976,5031,1110,722,362,42,23,6,2022
제조업,식료품제조업,근로자수 (명),338515,33005,33064,82774,42109,49699,59416,15825,15099,7524,2022
제조업,식료품제조업,요양재해자수 (명),3344,515,408,1004,426,371,400,107,59,54,2022
제조업,식료품제조업,요양재해율 (%),0.99,1.56,1.23,1.21,1.01,0.75,0.67,0.68,0.39,0.72,2022
제조업,섬유 및 섬유제품 제조업,사업장수 (개소),27922,20384,3714,2904,513,281,113,9,3,1,2022
제조업,섬유 및 섬유제품 제조업,근로자수 (명),165924,32788,24252,47411,19443,18944,16582,3352,2096,1056,2022
제조업,섬유 및 섬유제품 제조업,요양재해자수 (명),1167,306,176,325,117,113,78,18,15,19,2022
제조업,섬유 및 섬유제품 제조업,요양재해율 (%),0.7,0.93,0.73,0.69,0.6,0.6,0.47,0.54,0.72,1.8,2022
제조업,목재 및 종이제품 제조업,사업장수 (개소),18275,12558,2907,2239,323,148,90,9,1,0,2022
제조업,목재 및 종이제품 제조업,근로자수 (명),116483,21175,19114,36000,12165,10138,13966,3370,555,0,2022
제조업,목재 및 종이제품 제조업,요양재해자수 (명),1556,497,311,417,104,82,124,19,2,0,2022
제조업,목재 및 종이제품 제조업,요양재해율 (%),1.34,2.35,1.63,1.16,0.85,0.81,0.89,0.56,0.36,0,2022
제조업,출판·인쇄·제본업,사업장수 (개소),18882,14251,2424,1672,284,162,80,5,4,0,2022
제조업,출판·인쇄·제본업,근로자수 (명),103020,22523,15784,26785,10604,10958,11822,2106,2438,0,2022
제조업,출판·인쇄·제본업,요양재해자수 (명),420,116,66,130,42,37,28,1,0,0,2022
제조업,출판·인쇄·제본업,요양재해율 (%),0.41,0.52,0.42,0.49,0.4,0.34,0.24,0.05,0,0,2022
제조업,화학 및 고무제품 제조업,사업장수 (개소),40953,24810,6843,6461,1475,829,447,44,30,14,2022
제조업,화학 및 고무제품 제조업,근로자수 (명),437322,44036,45160,107384,55819,56581,70010,15663,20543,22126,2022
제조업,화학 및 고무제품 제조업,요양재해자수 (명),3363,502,379,726,337,278,258,53,57,773,2022
제조업,화학 및 고무제품 제조업,요양재해율 (%),0.77,1.14,0.84,0.68,0.6,0.49,0.37,0.34,0.28,3.49,2022
제조업,의약품·화장품·연탄·석유제품제조업,사업장수 (개소),3691,1749,557,669,222,266,176,29,17,6,2022
제조업,의약품·화장품·연탄·석유제품제조업,근로자수 (명),109109,3043,3714,11590,8583,18783,28316,10909,11056,13115,2022
제조업,의약품·화장품·연탄·석유제품제조업,요양재해자수 (명),379,24,30,66,48,61,91,18,17,24,2022
제조업,의약품·화장품·연탄·석유제품제조업,요양재해율 (%),0.35,0.79,0.81,0.57,0.56,0.32,0.32,0.17,0.15,0.18,2022
제조업,기계기구·금속·비금속광물제품제조업,사업장수 (개소),180509,121979,27571,22904,4311,2310,1187,150,58,39,2022
제조업,기계기구·금속·비금속광물제품제조업,근로자수 (명),1495569,201480,180776,373120,162605,158631,189819,56605,38928,133605,2022
제조업,기계기구·금속·비금속광물제품제조업,요양재해자수 (명),14616,3494,2188,3607,1158,931,1155,414,306,1363,2022
제조업,기계기구·금속·비금속광물제품제조업,요양재해율 (%),0.98,1.73,1.21,0.97,0.71,0.59,0.61,0.73,0.79,1.02,2022
제조업,금속제련업,사업장수 (개소),282,84,43,52,23,25,40,5,4,6,2022
제조업,금속제련업,근로자수 (명),42318,149,309,883,837,1909,7727,1806,2628,26070,2022
제조업,금속제련업,요양재해자수 (명),302,3,5,6,25,28,49,6,38,142,2022
제조업,금속제련업,요양재해율 (%),0.71,2.01,1.62,0.68,2.99,1.47,0.63,0.33,1.45,0.54,2022
제조업,전기기계기구·정밀기구·전자제품제조업,사업장수 (개소),55337,35377,8528,7320,1731,1308,810,143,59,61,2022
제조업,전기기계기구·정밀기구·전자제품제조업,근로자수 (명),920677,59052,55935,120800,66138,90939,129541,55163,40314,302795,2022
제조업,전기기계기구·정밀기구·전자제품제조업,요양재해자수 (명),1941,284,210,371,194,205,320,117,62,178,2022
제조업,전기기계기구·정밀기구·전자제품제조업,요양재해율 (%),0.21,0.48,0.38,0.31,0.29,0.23,0.25,0.21,0.15,0.06,2022
제조업,선박건조 및 수리업,사업장수 (개소),7609,4329,1326,1186,236,383,137,4,3,5,2022
제조업,선박건조 및 수리업,근로자수 (명),127758,7151,8819,17809,8944,27714,18895,1507,2409,34510,2022
제조업,선박건조 및 수리업,요양재해자수 (명),3336,418,197,291,120,352,370,21,92,1475,2022
제조업,선박건조 및 수리업,요양재해율 (%),2.61,5.85,2.23,1.63,1.34,1.27,1.96,1.39,3.82,4.27,2022
제조업,수제품 및 기타제품 제조업,사업장수 (개소),24597,17810,3402,2727,419,183,55,1,0,0,2022
제조업,수제품 및 기타제품 제조업,근로자수 (명),131914,28476,22202,44183,15849,12279,8622,303,0,0,2022
제조업,수제품 및 기타제품 제조업,요양재해자수 (명),1130,362,180,338,131,72,47,0,0,0,2022
제조업,수제품 및 기타제품 제조업,요양재해율 (%),0.86,1.27,0.81,0.77,0.83,0.59,0.55,0,0,0,2022
전기·가스·증기 및 수도사업,소계,사업장수 (개소),3502,2341,267,299,200,242,118,23,5,7,2022
전기·가스·증기 및 수도사업,소계,근로자수 (명),79103,2915,1765,5387,7662,16919,20332,8666,3887,11570,2022
전기·가스·증기 및 수도사업,소계,요양재해자수 (명),129,8,6,27,22,20,27,5,1,13,2022
